7272	8723
9268	410
1302	4333
5022	3910
2827	9348
4316	9552
9778	4063
2440	5240
9604	2322
4418	1691
6866	9414
634	387
1025	263
251	8426
920	4155
5004	2553
7168	4402
5248	5818
5509	8452
3214	3253
7390	8483
7888	6453
5558	2546
623	4919
5435	959
9748	1115
9515	1546
7865	9358
4526	3876
3664	9157
221	5474
465	6686
3297	6356
9119	1888
4908	4092
292	2856
1621	786
8976	3093
4129	161
2790	6696
2405	8656
479	2097
9226	8184
2027	2169
3423	3766
6267	943
8551	409
9662	8456
1329	7525
6242	5965
8278	271
6081	3735
1061	9254
8631	3596
5592	5452
6588	7519
3450	741
5032	7750
1077	483
9995	240
4041	3461
2383	1316
3217	3233
6531	7596
4620	481
9587	3064
4512	2431
1385	5495
7373	5118
7940	4621
5307	3741
3520	2276
768	1703
7832	2484
9372	2850
4361	3930
7290	8204
134	589
6440	2797
5313	3534
888	9568
5227	6720
4128	2328
3421	3917
8352	5786
6749	7762
3750	8132
7852	7913
1383	3552
9360	7410
611	1399
911	4637
6000	6811
8181	3954
3536	9927
7053	6774
3164	9362
740	2793
262	6144
7339	301
2612	1118
3053	7331
3296	8583
5731	8600
5172	617
1573	2706
1299	4656
3832	7191
1428	6030
1349	8953
2165	1288
2427	7980
5785	4566
389	9663
8992	6750
9967	7535
3851	2415
8962	5816
4623	476
3066	2794
5089	7820
8992	630
7395	2370
7770	2841
2456	2847
8476	3346
7560	8559
7897	4283
7471	9816
5345	411
6210	1183
2323	1645
7540	1125
1585	6424
2882	9637
5813	7693
9828	2503
1914	6551
9990	4699
2415	8499
2478	4119
305	554
9281	4318
4616	6937
9929	9017
2307	211
1308	312
3987	1543
6014	2319
1713	3758
5967	8153
4022	6389
5281	2815
6558	630
3289	6890
7242	8087
7145	5532
7440	6915
2566	881
9440	2549
5517	6390
9310	1232
486	6181
8645	9449
8156	917
8213	7011
6316	9615
2945	7363
8643	7486
1908	6825
4388	5182
2485	8009
2876	7876
7246	1840
8276	6731
8035	7458
207	2187
6925	3482
5565	8742
4509	6861
2186	6793
4351	6566
5398	2643
6514	8458
4347	569
7689	3893
5134	6274
1817	6124
3377	1660
571	5132
1653	6067
7441	803
3241	4657
5962	6378
8548	805
8326	4933
2395	1144
3617	993
4310	4022
2059	7441
3727	3070
9811	3244
8265	7201
8112	8760
5253	8051
4073	6660
4667	3114
9593	1081
1581	6706
8190	9989
2581	2483
4001	1145
7593	9559
4978	5958
9788	8213
2788	7119
4627	6660
3650	1855
1527	532
5844	2596
2923	6225
1075	2924
8801	7874
6298	2187
1704	2181
6003	9004
7086	1700
8065	2350
8621	213
4440	1307
6778	6969
2731	5154
6697	1770
2473	367
8476	1484
6853	4193
3978	8170
2277	9668
1157	8105
1372	4245
6485	1430
7993	932
1480	254
4325	5584
9085	5597
8723	2601
8612	2613
5130	2432
8884	4850
4399	805
7333	4887
3058	7418
8261	3332
7561	2609
318	2310
6218	3149
5620	706
9754	5437
9295	6039
2497	5664
520	7135
2629	8977
1743	8995
2666	3516
4446	7292
4927	7931
5372	5800
4845	4819
7471	1863
8414	7942
5954	2701
9544	943
8944	6761
1185	987
667	9916
4940	1326
3566	7108
8586	7737
9478	1354
8825	940
3031	8479
8234	292
8510	8506
1362	6748
549	8158
7621	4549
7898	6584
8235	6412
6668	2947
8102	1089
630	3126
7464	8314
2600	3969
8518	8234
2877	3962
6902	2491
1463	9178
8155	3234
7640	5906
5230	2923
1407	7156
6802	8248
3600	3849
8482	7537
3971	6505
8086	1706
830	8039
2102	6032
1537	6458
7064	8814
8479	3558
1992	6013
6929	9719
3497	5633
190	9210
1877	8230
3228	7398
8299	6143
2110	5758
2497	3729
4664	9570
518	1177
6365	3979
6560	4957
8497	2921
1725	3627
4577	509
1602	2037
4061	7310
6778	7133
8248	8052
9953	6406
7733	4576
8544	7338
3597	6066
1250	747
7577	126
2310	443
6662	3264
5484	3840
6178	8887
8109	5029
8210	3333
3342	5280
7980	1605
737	7456
1137	2896
8208	5468
7535	5789
603	6279
5957	4792
1444	1790
7960	4409
4611	1349
8314	5653
2278	9857
3639	8655
5522	4522
7097	9733
9710	5221
5218	1444
7284	2822
1557	1734
3595	4155
978	632
7688	6313
1781	5745
4775	5557
9987	5226
1196	8960
399	5684
6110	1227
839	5792
8220	5088
396	1708
2606	8003
1155	4348
6436	3508
8801	8164
1688	5112
1023	5143
9153	5393
3689	8904
7197	8127
4384	7767
2138	6908
2516	1113
4971	6539
7235	597
9069	325
4063	7368
1680	3386
5636	6515
6447	7228
8656	3331
5551	1477
7516	4553
2526	2811
4415	6649
